window,store_name,pilot,revenue,cogs
pre,7 Rasta Byculla,0,998024.7,604303.9271
pre,Airoli,0,2167920.46,1316919.669
pre,Airoli Sec 5,0,792715.21,548596.8033
pre,Airoli Sector - 3,0,1442220.16,918001.2828
pre,Ambegaon Pune,0,706416.32,483780.5165
pre,Ambernath East,0,999150.67,688664.3505000001
pre,Ambernath West,0,1052417.39,678858.3277
pre,Ashokvan Dahisar,0,1276617.4,771862.499
pre,Badlapur - Belavali,0,907424.4,585166.3944
pre,Badlapur East,0,813100.52,539121.9548
pre,Bandra,1,1773453.36,1002616.3314
pre,Bhandup West,0,1873421.26,1183118.3897
pre,Bhayandar,0,1599139.72,1003712.875
pre,Bhayander 60 Feet Road,0,797378.71,520989.3228
pre,Bhekrainagar Pune,0,719643.31,484093.81
pre,Bhiwandi - Shivaji Chowk,0,443331.8,289591.934
pre,Bhiwandi Dhamankar Naka,1,1424698.54,852435.1274
pre,Bibwewadi Pune,0,1047371.0,602744.7934
pre,Bytco Point Nashik,0,959662.13,681321.9221
pre,CST Bora Bazaar,0,807191.0,467285.8922
pre,Canada Corner Nashik,0,215860.32,159546.3794
pre,Chandivali,0,783289.45,462037.3011
pre,Charkop,0,1746041.6199999999,1066558.5433
pre,Chembur,0,2287292.82,1293527.658
pre,Chinchwad,1,1084001.01,758412.1681
pre,Chinchwad - Gandhi Peth,1,393696.06,282071.507
pre,Cidco Nashik,0,607209.61,427490.4639
pre,Colaba,1,768813.04,460970.5636
pre,Dadar East,0,910954.78,553306.5047
pre,Dahisar,0,1371615.38,826663.5614
pre,Dattnagar,0,828510.17,488057.6995
pre,Dhanakwadi,0,1171021.84,763350.1693
pre,Dhanori Pune,0,1000553.86,682793.1845
pre,Dhayari Pune,0,812295.52,530528.8498
pre,Dighi Pune,1,678680.66,496483.5573
pre,Dombivali,0,1381595.33,848561.1416
pre,Dombivali - Navpada,0,835762.15,548992.8492
pre,Dombivali - Reti Bunder,0,645890.2855,419842.8929
pre,Dombivli West,0,1854909.98,1058547.4394
pre,Evershine Nagar,0,847495.95,518665.1623
pre,Fam Society - Koperkhairne,0,1807438.62,1170530.3152
pre,Fursungi Pune,0,861995.87,601932.3314
pre,Ghansoli,0,2393597.62,1526437.4897
pre,Ghatkopar East,0,1753113.93,1133901.2606
pre,Ghatkopar West,0,1574293.72,999443.9698
pre,Ghodapdeo - Byculla,0,648952.01,359267.2945
pre,Global City Virar West,0,931216.5,607133.012
pre,Goregaon,1,1795504.08,1055209.1456
pre,Goregaon West S.V. Road,1,1774732.72,1177381.5697
pre,Govandi,0,1831127.83,1055313.2073
pre,Gujrat Colony Kothrud,0,581510.89,400192.4911
pre,Gulab Nagar Pune,0,778838.35,511796.9534
pre,Hari Om Nagar,0,1413722.48,917986.5243
pre,Hiltron Ulhasnagar,0,955588.55,610549.6794
pre,Hiranandani Thane,0,2587151.89,1727350.0915
pre,IC Colony Borivali,0,2297704.85,1414287.3222999999
pre,JB Nagar,0,2786169.76,1781609.3508
pre,JJ Hospital,0,1629043.41,817975.936
pre,Jagruti Nagar Ghatkopar,0,889739.6,563476.7383
pre,Jail Road Nashik,0,672255.3,482012.0508
pre,Jay VIjay Nagar Nalasopara East,0,744433.74,485290.6865
pre,Kalamboli,0,1062432.26,671289.5998
pre,Kalher Bhiwandi,0,1765110.29,1140513.8523
pre,Kalina,0,1147760.32,742819.3702
pre,Kalwa,0,2514819.18,1495335.8075
pre,Kalyan,0,1185105.6,749075.762
